	channel	date	message
12	amirkabir	2019-10-17 12:32:18	ه عن افتاب سرمه ا فند ه گوشه هاش قرمزه گمشده  عن اصل نست پس ارزش ماد نداره ول برا من با ارزشه   اگه پداش ردن لطفا به ادمن پام بدن  گمشده ها  
13	amirkabir	2019-10-17 12:33:03	میدونید روز تجمع دکتر معتمدی کجا بود رفته بود برج علم و فناوری داخل کوچه بالاور که اگر پیاده هم می خواستی بیای پنج مین راه نبود  به نظرتون شخصی که از تجمع دانشجوها میترسه و میدونه که یجای کارشون می لنگه و توانایی پاسخ دادن به مطالبات دانشجویان رو نداره میتونه دانشگاه رو مدیریت کنه   
14	amirkabir	2019-10-17 12:34:24	سلام کسی میدونه که دندون پزشکی دانشگاه ارتونسی هم داره یا نه اگه داره نداره   
15	amirkabir	2019-10-17 12:35:48	یجوری استوری بچه های خوابگاهی کوردن بلو شده که اگه مسولین این ذوق بچه هارو ببین و کیفیت غذاهارو بالانبرن     واقعا ک   
16	amirkabir	2019-10-17 13:20:20	علموصی ها ایشالا زودتر حالتون خوب شه رفقا همدردی بچه های پلی تکنیک را صمیمانه پذیرا باشید   
17	amirkabir	2019-10-17 14:39:31	زنگ خوردن گوشی پیمانکار سلف دانشگاه علم و صنعت هنگام مکالمه با گوشی  دروغگو همه جا هست    
18	amirkabir	2019-10-17 15:36:57	دوستانی که سوال میکنن علم و صنعت چه اتفاقی افتاده در لینک زیر توضیح داده شده      مسمومیت بیش از  دانشجوی دانشگاه علم و صنعت   ادمین   
19	amirkabir	2019-10-18 10:13:43	خودم اولین نفر حاضرم سر خونده نشدن کتابی که موقع آماده مسافرت شدن میذارم تو کیفم شرط ببندم  نمیدونم چرا ولی میذارم     
20	amirkabir	2019-10-18 10:14:16	ببینم همه اونایی که ترم اول ریاضی و فیزیک  دارید فقط من نگران پاس نکردنشونم یا شما هم همچین دغدغه هایی دارین    
21	amirkabir	2019-10-18 10:15:07	سال  بخاطر دختری که دوسش داشتم مجبور شدم برم خدمت ولی وقتی برگشتم نامزد کرده بود انگار دنیا رو سرم خراب شده بود هیچوقت خیانتشو نبخشیدم اونروزا اینقد حالم خراب بود که با کل دوست دخترام کات کردم برگشتم تو همون خونه قدیمی با زنم زندگی کردم   کپی  اقای همساده   
22	amirkabir	2019-10-18 10:15:29	واقعاااا انتگرال گیری یادتون ندادن   پس کلا دانشگاه رو اشتباه اومدین به نظرم چون اینجا سوالای فارسی و انسان در اسلام و اندیشه هم با انتگرال گیری حل میشه        
23	amirkabir	2019-10-18 10:16:23	هرسری که اسم کوردن بلو رومیخونم حس میکنم ی غیره ایرانی هستم که داره سعی میکنه فارسی حرف بزنه    
24	amirkabir	2019-10-18 10:17:03	من فکر کردم فقط ما بدبختیم نگو بازم موجوده مسول بی کفایت همه جا هست      علموص تسلیت  من نوعی   
25	amirkabir	2019-10-18 10:17:38	سلام اگه کسی در مورد دوره های زبان جهاد دانشگاهی امیرکبیر مخصوصا آیلتس نظری داره لطفا بگه   
26	amirkabir	2019-10-18 15:50:11	واقعا نمیدونم هدف بعضیا از اینکه سر کلاس از کسی ک حواسش نیس عکس بگیرن چیه  پسر نساجی خواستم از همینجا بهت بگم ک خیلی بی شخصیت و بی فرهنگی   شیزیک   
27	amirkabir	2019-10-18 15:53:29	عکسی از توالت مادر دانشگاه های صنعتی ایران      همین که اون تو در و دیوارش رومون خراب نمی شه جای شکرش باقیه   
28	amirkabir	2019-10-18 20:04:48	در جواب به دوستی که گفتن اشتباهی دانشگاه اومدیم کار اشتباه رو کسی انجام داد که نظام    رو روی کار اورد و کتابای دبیرستانو تغییر داد بدون اینکه کتابای دانشگاه رو تغییر بده ماها فقط در عمل انجام شده قرار گرفتیم   بوعلی   
29	amirkabir	2019-10-18 20:05:05	خطاب به همه کنکوریا   هرکی بهتون گفت بعد کنکور دیگه خلاص میشی و دانشگاه رواله یکی بزن تو گوشش تو نمی دونی چرا میزنی ولی اون میدونه چرا میخوره   ورودی   
30	amirkabir	2019-10-18 20:05:52	خوب با حذف انتگرال کاسبی میکنیناااا      
31	amirkabir	2019-10-18 20:07:29	رفته بودم سلف دانشگاه شهر خودمون تابستون ب همراه یکی از دوستامنوشیروانی بابل    هم کیفیت غذاش خیلی خوب بود هم کمیت    امسال هم کیفیت غذاها سلف امیرکبیر بدتر شد هم کمیت    واسم سواله بودجه دانشگاه ما کجا میره    چرا ی دانشگاه دیگ ک قطعن بودجش اگ از دانشگاه ما کمتر نباشه بیشتر نیست میتونه بهتر به دانشجوهاش برسه   
32	amirkabir	2019-10-18 20:42:40	در جواب به ان دوستمون بگم ه وضعت سلف نوشروان هم خوب ن برادر من ما دارم زندگ منم با سلف نوشروان برن خداروشر نن   عدد دانشجو غرب   
33	amirkabir	2019-10-18 21:19:54	دوستان کسی در جریان هست که اگه به خاطر بیماری نتونیم یه امتحان دانشکده ای رو شرکت کنیم چجوری باید موجهش کنیم و دوباره امتحان بدیم اگه کسی میدونه کمک کنه ممنون میشم   
34	amirkabir	2019-10-19 10:41:32	مسولین مربوطه در یک نگاه   
35	amirkabir	2019-10-19 10:42:15	پارسال همین موقع ها بود ول کن اون یارو به چشای یکی اتصالی کرده بود خراب شده بود و دهن ما رو هم سرویس کرده بود  فراری   
36	amirkabir	2019-10-19 13:44:36	دوستان یه سوال داشتم  بنظر شما کارکردن با لپ تاپ مخصوصا تایپ کردن و کلیک کردن توی اتاقکارخوبیست واقعا صداش رو عصاب نیسمخصوصا وقتی یکی درحال استراحته سواله واس من واقعا موافقید    خوابگاه   
37	amirkabir	2019-10-19 13:45:08	چقدر به اسم سهمیه خانواده شهدا به مدافعان امنیت کشور و خانواده هایشان توهین شد و حالا مشخص شده به اعضای هیت علمی دانشگاه ها بی سر و صدا  برابر خانواده شهدا سهمیه اختصاص یافته   
38	amirkabir	2019-10-19 13:47:16	واقعا من نمیدونم چرا اخلاق ماها اینه که همش بنالیم دانشگاه ما الان خیلی دانشگاه خوبیه  همه چی داره واقعن الان  تا چیز داریم ولی گیر داریم به همون  که نداریم ذهنتونو رها کنین و از دانشگاه خوبتون لذت ببرین   
39	amirkabir	2019-10-19 13:48:21	به نظرتون برای یه پسر  ساله عجیبه که بچه بخواد احساس نیاز میکنم   
40	amirkabir	2019-10-19 13:56:16	خطاب به پسری که بچه می خواد   عزیزم این چند روز تعطیل بوده غذای سلف بهت نرسیده انگار  از فردا درست می شه همه چی نگران نباش   عدس پلو   
41	amirkabir	2019-10-19 14:10:40	سهمیه قبولی ایثارگران  و ایثارگران  هم حدود  برابر انتقال یافته ها یا تغییر رشته یافته های بچه های هیت علمی هستند   
42	amirkabir	2019-10-19 14:29:52	جایی هست تو دانشگاه یه تور ببره که بشه دختروپسر با هم برن کلا هرچی دیدم جداست    مکارم غیرشیرازی     
43	amirkabir	2019-10-19 14:31:03	 از دوستا خوابگاهم هر سال  دوبار نهاتا به شهرشون بر مگرده و همشه بچاره مامان باباش ازش خواهش منن ه بره و بهشون سر بزنه اما به خاطر ار و هزنه نمره ول اربعن رو بشتر از  ملون تومن هزنه رد و ه هفته رفت ربلا  پ ن  مدونم خلا از رو تعصب واه مخالفن   
44	amirkabir	2019-10-19 14:35:43	ادمین جون هرکی دوس داری دوباره توییتای دعوای سهمیه ایا و هیت علمیارو نذار اعصاب نداریم به خدا     موافقم   دوستان میتونن با جستجو واژه سهمیه بحث و جدلهای سالهای گذشته رو مطالعه کنن زنده باشید   ادمین 
45	amirkabir	2019-10-19 15:45:48	بنظر شما کارکردن با لپ تاپ مخصوصا تایپ کردن و کلیک کردن توی اتاق کار خوبیست  در طول روز این حقه هر کسیه ولی اگر  به بعد کسی میخواست تایپ کنه ویس بده درس بخونه بره بیاد بخوره بنوشه از تخت بپره در اتاق را محکم ببندهمحکومه باهاش مقابله کنید حق شما ارامش از ساعت  شب تا  صبح   
46	amirkabir	2019-10-19 19:01:59	ثبت نام در سایت زیر         
47	amirkabir	2019-10-19 21:43:03	خیلی غیرمنطقیه تو یه مکان زندگی دسته جمعیخوابگاههرجورکه دلمون خواست رفتارکنیم واسمش رو بزاریم حقمونیکی از صبح تاشب کلاس داره وقتی میاد نیازبه آرامش داره حالا نه درحدصدای تایپ ولی بلندبا تلفن حرف زدن درروکوبیدن و    مشکله خونه شخصی نیست که هرکاری بخواهیم بکنیم یه سری چیزاروبایدرعایت کرد   
48	amirkabir	2019-10-19 21:43:51	در پاسخ به دوستمون گف که حق هرکسی هست باید عرض کنم که تو  خوابگاهی که برای هر طبقه اش  میزوصندلی مخصوص مطالعه گذاشتن توی سوییت و یک سالن مطالعه چندصدنفری داره و یک نماز خونه بزرگ خودخواهیه که بخوای بشینی تو اتاق و هی بکوبی روی کیبرد لپ تاپت      کانال تبادل کتاب   
49	amirkabir	2019-10-19 21:45:55	خداییش بچه بازی در نیارید  هر موقع دیدید یکی داره تو اتاق میخوابه بساطتونو جمع کنید بیاید تو سوییت بشینید  حالا هر تایمی که بود      
50	amirkabir	2019-10-20 00:09:56	صفحه تقدیر و تشکر پایان نامه یکی از دانشجوهای سابق شریف که امروز دیدم بر خودم لازم دونستم بهتون تقدیم کنم       کانال تبادل کتاب   
51	amirkabir	2019-10-20 09:19:25	ان توت خوابگاها قشنگ معلومه ورودان   سخت نگرد درست مشه عززان  هم اونا درست مشن هم شما عادت مند       کانال تبادل کتاب   
52	amirkabir	2019-10-20 09:20:01	بحث تعطیلی دانشگاه و کافور شد چقددددددد تابستون اولی که اومدیم خونه از خوابگاه سخت گذشت آقااااا       کانال تبادل کتاب   
53	amirkabir	2019-10-20 09:20:31	 بی فرهنگی فقط اونجا که توی طبقات ابوریحان سیگار میکشن  نکنید آقا نکنید      کانال تبادل کتاب   
54	amirkabir	2019-10-20 09:21:02	یادمه اون موقع که بسطامی دخترونه بود اتاق  نفره بودیم همیشه یکی خواب بود همیشه باید با پچپچ حرف میزدیم همیشه باید آهسته میرفتیم و میومدیم درسته واقعا تلاش میکردیم رعایت کنیم ولی واقعا برای همیشه انجام دادن سخته این کارا      کانال تبادل کتاب   
55	amirkabir	2019-10-20 09:21:54	مورد داشتیم یه سری  دانشجو نما ساعت  صبح تو خوابگاه داشتن سر و صدا میکردن و آهنگ علی سورنا پخش میکردنظاهرا تو دوران دبیرستان موندن وقتی هم بهشون تذکر دادن دعوا راه انداختن  خداوند همه ما را آدم کند  بیثواد      کانال تبادل کتاب   
56	amirkabir	2019-10-20 09:23:56	گروهای دانشگاه اولش اینجوریه که پیامت گم میشه توش آخرش میتونی به عنوان آرشیو ازش استفاده کنی          کانال تبادل کتاب   
57	amirkabir	2019-10-20 09:40:24	مسولای دانشکده کامپیوتر زحمت کشیدن چندتا از مودم های اینترنت رو جمع کردن حالا چرا چون نظرشون این بوده که سر کلاس دانشجویان به اینترنت احتیاجی ندارن  خدا قوت پهلوان خسته نباشی دلاور  نع  کامپیوتر      کانال تبادل کتاب   
58	amirkabir	2019-10-20 09:52:33	فحشهایم به دانشگاه تمام نمیشود  فقط از صبحی به صبح دیگر و از استادی به استاد دیگر منتقل میشود     احمده      کانال تبادل کتاب   
59	amirkabir	2019-10-20 10:00:00	خطاب به دوستی که فحاشی به اساتید و دانشگاه میکنه  نیا خب      کانال تبادل کتاب   
60	amirkabir	2019-10-20 10:28:59	به طور کلی و نه خاص خانواده هامون در تربیت ما ها صفر بوده چون الان داریم سر موضوعات اولیه هم زیستی در کنار هم با هم بحث میکنیم    مثلا من شاید تو موضوع خوابگاه ردیف باشم ولی تو هزار موضوع دیگه ضعف و خلا آموزش رو حس میکنم چه در مدرسه چه در خانواده      کانال تبادل کتاب   
61	amirkabir	2019-10-20 10:29:45	استفن هاونگ بدترن دشمن دانا جهل نستبله توهم دانا است      کانال تبادل کتاب   
62	amirkabir	2019-10-20 13:11:40	آقا جمع کنید این وندینگ خیام رو     دفعه دومه که داره بهم لیوان خالی میده  هیچ شماره ای هم برای پیگیری این موضوع نداره      کانال تبادل کتاب   
63	amirkabir	2019-10-20 13:18:10	اقاااااا وقتی برای استفاده از اینترنت لاگین کردن نیازه دیگه چرا مودمتون رمز داره حالا رمز گذاشتین عیب نداره   آخه دیگه چرا عوضش میکنین       کانال تبادل کتاب   
64	amirkabir	2019-10-20 13:19:13	آقا به نظرم حنجره این خانومه که تو آکواریوم اسم اعلام میکنه رو بیمه کنید        کانال تبادل کتاب   
65	amirkabir	2019-10-20 17:33:17	امروز یعقوب برقی خیام خراب بود ب یه عده لیوان خالی میداد  زنگ بزنید پولتونو برمیگردونن   
66	amirkabir	2019-10-20 19:17:36	دوستان  کسی هست این ترم انسان در اسلام و فارسی باهم داشته باشه  اگر هست ی نگاهی ب برنامه امتحانات میانترم بندازین میبینین هم امتحان انسان در اسلام هم فارسی توی ی روز و ی ساعت هستش  کسی میدونه چ کنیم      کانال تبادل کتاب   
67	amirkabir	2019-10-20 22:18:03	نمیشه کانالی که تا یه روز قبل اعتراض  مهر هیچکاری نکرده بود و یهو شروع میکنه به کپی پیست کردن چندتا از پستهای کانال اعتراض و همونها رو هم پاک میکنه حالا بیانیه بده در مورد اعتراض و بشه داعیهدار همه اعتراضات پلیتکنیک این کارا در حد سکوت پلیتکنیک هم نیست چه برسه به فریاد     
68	amirkabir	2019-10-20 22:22:53	اخیرا دیوان عدالت اداری در حکمی الزام نویسندهمسول بودن اساتید راهنما را باطل کرد براین اساس استادان دیگر نمیتوانند دانشجویان دوره دکتری را مجبور کنند که نامشان را در مقالههای خود بیاورند        
69	amirkabir	2019-10-20 22:42:01	دیوان عدالت یجوری برای دادخواستها رای میده و پیگیری میکنه که آدم شک میکنه یه سازمانی تو ایرانه  اصولا نباید اینقدر راحت حقتو بدنبگیری تو ایران  حتی برا موتور سواری خانما هم رای مثبت صادر کرد   
70	amirkabir	2019-10-21 00:46:02	سوالی که خیلی وقته ذهنمو درگیر کرده اینه که ارزیابی اساتید به چه درد میخوره زیادن استادایی که نه خوب درس میدن نه نمره میدن و نه اخلاق خوبی دارن سی سالم هست دارن درس میدن چقد شماها به نظر دانشجو اهمیت میدین آخه   
71	amirkabir	2019-10-21 09:47:05	دوست عزیز تا چند وقت پیش همین دکتر کریمیان ریس دفتر نظارت و ارزیابی بودن مثلا چون دوست دشمن است شکایت کجا بری امیدوارم جوابتو گرفته باشی    
72	amirkabir	2019-10-21 10:03:30	یادی کنیم از تهیه غذای دانشجویی   
73	amirkabir	2019-10-21 10:29:01	برکت وقتی از زندگیا مشترک رفت که تو عروسیا به جا اهنگهای شاد معین و امید و      حامد همایون و بهنام بانی و حمید هیرادو محسن ابراهیم زاده و     پخش شد   
74	amirkabir	2019-10-21 10:29:26	دوستان علاف شورا صنفی ریاضی یه یعقوب برقی رو نمیتونین پیگیر شین برگردونن اینقدر درگیرینخوبه هرروز میبینیمتون   
75	amirkabir	2019-10-21 10:30:42	انقدر که پسرای دانشکده ریاضی علاقه دارن موهاشونو بلند و رنگ کنن دخترا ندارن    
76	amirkabir	2019-10-21 10:32:21	امروز تی ای گفت اگه نیاز دارین به کلاس جبرانی قبل امتحان میانترم زودتر بگین چون باید برای گرفتن کلاس پول جمع کنیم بدیم آموزش زیبا نیست   دانشکده ریاضی  آبطالبی   
77	amirkabir	2019-10-21 10:32:53	تشر وژه از استاد تابدار  اشون تنها استاد دروس محاسبات نستن بله معلم اخلاق هم هستن در لاس ها اشون درس زندگ هم تدرس مشه انشالله همه اساتد انگونه باشند  درا   
78	amirkabir	2019-10-21 10:34:06	کیف کارت همراه کارت دانشجویی  گمشده ها  
79	amirkabir	2019-10-21 10:35:07	یه کاور که توش سه تا کارنامه و تاییدیه سلامت روان هست گم شده   گمشده ها  
80	amirkabir	2019-10-21 13:56:45	طبق تکذیبیه انجمن ترقیخواه این کانال هیچ ارتباطی با این تشکل و اعضای آن ندارد    
81	amirkabir	2019-10-21 16:41:12	ی گوشی تو کلاس  تا  ذبیحی پیدا شده صاحبش بیاد بگیره  گمشده ها   
82	amirkabir	2019-10-21 21:17:45	خستم       
83	amirkabir	2019-10-21 21:20:14	خستس           ادمین  
84	amirkabir	2019-10-21 21:26:20	از تباهی های من تو ترم اول همین بس که برای رفتن به آز شیمی از مترو اینهمه راه رفتم تا در حافظ بعد از اونجا رفتم خیابان سعید  قشنگ دور خودم چرخیدم    
85	amirkabir	2019-10-21 21:26:46	ببین از زندگی خستم افتااااد   
86	amirkabir	2019-10-21 21:27:47	ای کاش میز تنیس وفوتبال دستی که به عنوان هفته تربیت بدنی اوردن همیشه بود یا لااقل ماهی سه چهار روز میزاشتن با اینکه بازی نکنی ولی وقتی از کنارش رد میشی حس خوبی به ادم میده   
87	amirkabir	2019-10-21 21:30:59	یک ماشین حساب مهندسی در خوابگاه گلشن نمازخانه خوابگاه گم شده  لطفا هرکسی پیدا کرده بیاد تحویل بده  گمشده ها  
88	amirkabir	2019-10-21 21:31:38	اگه برای سیبل تو غرفه تفنگ بادی از استادا استفاده میشه همه کریس کایل میشدن    
89	amirkabir	2019-10-21 22:01:00	بابا خب تویی که انقد جرات نداری تو روی کسی حرف بزنی که جوابشو بشنوی چرا باید بیای اینجا پیام بدی یکی منو توجیه کنه چه فایدهای داره این کار    دانشکده ریاضی  یعقوب برقی    
90	amirkabir	2019-10-21 22:14:01	خدا کنه مسولین مملکت و دانشگاه منظور مهدی ترابی رو فهمیده باشن   راه نجات مملکت  اطاعت از رهبری   
91	amirkabir	2019-10-21 22:18:22	شما هم وقتی میخواید درس بخونید تو چرخه بی پایان مطالعه  صفحه اول کتاب گیر میافتید   
92	amirkabir	2019-10-21 22:19:32	دختر فقط باید با لطایف الحیل حیله های اوسگول کننده با پسرای خجالتی ارتباط بگیره تا کیس مناسب رو پیدا کنه نه با این پسرای الکی خوشحال و پررو و تیکه بنداز   شیخ الفیزیا   
93	amirkabir	2019-10-21 22:32:34	سردر جدید متالورژی   
94	amirkabir	2019-10-21 22:53:57	راه نجات مملکت اول از استقلال فکر نظر و عمل تک تک افراد و ارکان و احزاب کشور میگذره  از استقلال و آزادی اندیشه همه دانشجوها به خصوص دانشجویان علوم انسانی که این شاخه عملا نابود شده میگذره  نظر تمامی صاحب منصبها و مسولین هم محترم و قابل تامل    
95	amirkabir	2019-10-21 23:00:03	کار پاره وقت برای دانشجویان عزیز خانم و آقا درصد عالی هزینه ایاب ذهاب آموزش کامل  آتش زای
96	amirkabir	2019-10-22 10:10:32	دوست عزیزی که وسایل من رو از انبار خوابگاه برنجیان برداشتی من هنوز درسم تموم نشده و فقط بهم دیر خوابگاه دادن ممنون میشم لطف کنی وسایلی رو که برداشتی از مانتو کفش فلاکسنیم بوت و    برگردونی و اگر مشکل مالی داری مراجعه کن به مددکاری دانشگاه آخه انصاف ندارید شماها به جز کتابا همه چی بردید چطور میتونید چمدون باز کنید و       وجدان داشته باشیم   
97	amirkabir	2019-10-22 10:12:05	تویی که آدامس جویده رو میذاری روی میز مطالعه همون بهتر که نه کار گیرت بیاد نه ازدواج کنی نه بری تو جامعه کلا یه گوشه بیفتی بمیری نسلت منقرض بشه   
98	amirkabir	2019-10-22 10:13:17	نریز حیووون   
99	amirkabir	2019-10-22 15:44:52	تشریفات مراسم پیاده روی اربعین ثابت میکنه که  نه جاده سازی سخته نه بردن اینترنت به نقاط دور دست نه تامین داروی چند میلیون نفر نه تمین زیر ساختها برای راحتی مردم نه صدور ویزا در کسری از ثانیه و      فقط بستگی داره       هیت عزاداران یوزپلنگ ایرانی     
100	amirkabir	2019-10-22 17:45:08	وقتی فقط دو سه دقیقه مونده دو ساعت تایم ریاضی  رستمی تموم بشه و در عین حال استاد همچنان در حال تدریسهدلم میخواد      رو فریاد بزنم           
101	amirkabir	2019-10-22 17:53:26	در جواب به  هیت عزاداران یوزپلنگ ایرانی  باید بگم دوست عزیز کاملا حرفتو قبول دارم ولی مطمنا اینا نیستن که این همه کار رو انجام میدنعرضه شو ندارنهمه ی این هماهنگیا و    لطفیه که خوده امام حسین به نوکراش میکنه   
102	amirkabir	2019-10-22 19:00:03	 دوره جامع و کاربردی  ساعته نرم افزار ایلاستریتور   ظرفیت باقیمانده تنها  نفر   کاملا عملی و پروژه محور   پنجشنبه و جمعه ها از ام آبان ماه ساعت  الی    مدرک معتبر دانشگاه تهران با نمره پروژه و تمرینات دوره   سرفصل های اختصاصی متناسب با نیازهای بازارکار  صفر تا صد بدون پیش نیاز قبلی   با تدریس آریو عبدی طراح باتجربه شرکت های معتبری چون اسنپ با سلام و     و برگزارکننده  تهران ادرس پیج اینستاگرام استاد دوره      برای اطلاعات بیشتر ریزسرفصل ها و ثبت نام  وبسایت      و یا تلگرام و شماره تماس   
103	amirkabir	2019-10-22 21:23:57	بچه ها در راستای اجباری بودن مقنعه برای دخترا قرار نیست کاری کنیم   
104	amirkabir	2019-10-22 21:24:45	وقت پاتون بو مده فشتونو در نارن لطفا لطفا لطفا  همهچزونبادگفت   صبور  در صبور   
105	amirkabir	2019-10-23 19:32:18	و کوکو سیب زمینی ای که  تومان است     
106	amirkabir	2019-10-23 19:32:55	فقط خرماهای ما خراب بود یا برای شما نیز       هر  بسته خرمایی که گرفتیم کرم زده بود شورا صنفی دانشگاه اینقدر افتضاحه که درخواست برای شورای صنفی خوابگاه بی فایدس  به که باید شکایت برد   
107	amirkabir	2019-10-23 19:33:41	سلام ب همه دوستان کارت دانشجویی و کارت بانکی ب اسم امیرحسین حافظی قهستانی گم شده اگر کسی پیدا کرد لطفا اطلاع بده ممنون  گمشده ها  
108	amirkabir	2019-10-23 19:34:45	کسی رمز وایفای دانشکده برقومکانیک حالا هر طبقش و رمز وایفای کتابخونه مرکزی داره وایفای داریم ولی نمیتونیم ازش استفاده کنیم    بچههای بالا     
109	amirkabir	2019-10-23 19:35:28	خدایی خیلی بیشعوری که میاید اخر کوچه ناینی دم پنجره های خوابگاه متاهلی سیگار می کشید اگر سیگار کشیدن عشقته ک دلیل نداره واسه پنهون کردنش بیای اخر کوچه و دودش رو خورد زن و بچه مردم بدی اگر هم میترسی از کشیدنش ک بیخود میکنی میکشی  سیستم کولر و تهویه اتاق ها هرچی دوده میاره داخل   
110	amirkabir	2019-10-23 19:36:02	در جواب اون توییت چنددرصد از بچه ها سیگاری هستن باید گفت که همون درصد کم اینقدر بی فرهنگ هستن که توی تمام راه پله ها و حتی طبقه صفر ابوریحان سیگار میکشن و همیشه هوا رو آلوده میکنن و بقیه واسشون مهم نیستن     ارشد عصبانی   
111	amirkabir	2019-10-23 19:37:07	دوستی گفت که در راستای اجباری بودن مقنعه نیاز نیست کاری کنیم و    من موافقم اجباری نباشه صرفا از این جهت که بفهمیم کی با اجبار مقنعه سرشه و کی با انتخاب خودش  هیچی دیگه راحت میشه جایگاه خیلیا تو ذهنمون رو درست کنیم   دختر چادری هنوز تو ذهنم هستی با اون توییت ها   
112	amirkabir	2019-10-23 19:37:35	سلام کسی از دوستان از کانون شعر دانشگاه خبر داره چکار میکنن  آقا سعید گل   
113	amirkabir	2019-10-23 19:38:01	من حتی دیدمخود کارکنان دانشگاه هم نظافتچی ها به خصوص توی طبقات منفی ابوریحان سیگار میکشن   نو وان   
114	amirkabir	2019-10-23 19:42:53	رمز کل  های دانشگاه   نساجی                                                         پلیمر                                                        ساختمان فارابی                                                        معدن                                                                    فیزیک و انرژی                                                        هوافضا                                                      پزشکی                                                      صبوری                                                      ریاضی                                                                مکانیک                                                           نفت                                                      شیمی                                                         ابوریحان                                                             صنایع                                                       کامپیوتر                                                        برق  سایت برق                                                       عمران  رمز  طبقه اساتید دانشکده عمران                                                        
115	amirkabir	2019-10-23 19:48:47	دوستان اگه اینا عوض شده یا اشتباهه بهم بگید اصلاح کنم  اگر مودم دیگهای رو هم رمزشو دارید بگید  دمتون گرم   ادمین   
116	amirkabir	2019-10-24 14:41:36	دوست عزیزی که میگی نظافت چی ها توی راه پله ها سیگار میکشن    من آزمایشگاهم طبقه منفی  ه چطور من تا حالا اینطور چیزی ندیدم بعدشم اونا رعایت نمیکنن ولی ماها مثلا اسممون دانشجویه و باید رعایت حال همدیگه رو بکنیم    چطور به خودتون اجازه میدین اینقدر بقبه رو اذیت کنین واقعا  ارشد عصبانی   
117	amirkabir	2019-10-24 14:43:53	میشه به رشته ما که  میم پزشکی هست پزشکی نگید مرسی   پ ن  چون رشته من میم پزشکی این یه دونه بنفش شده واسم  ینی اونایی که رشتتون ریاضیه ریاضی واسشون بنفشه   
118	amirkabir	2019-10-24 14:44:35	نازمند ه همراه فقط برا پاده رو تو پار نهج البلاغه  ه درا   
119	amirkabir	2019-10-24 15:02:13	توییتی که مربوط به گرفتن پول توسط تدریسیار بوده با کمک ادمین عزیز پیگیری شد ولی جوابی از ایشون گرفته نشده  یعنی احتمالا این توییت صحت نداشته  پس اگه شماهم این حرف رو شنیدید و تیای مربوط رو میشناسید حتما به ما خبر بدین  دفتر انجمن علمی داخل ساختمون خیام هست   دانشکده ریاضی  انجمن علمی   
120	amirkabir	2019-10-24 15:21:03	به فکر دانشجو بودن تو امیرکبیر فقط اونجاش خوبه که اون خانومه تو سلف نفت وقتی غذا رو برات میکشه میپرسه کافیه پسرم یعنی میشه فداش نشد   
